,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Clothes_rarity,Eyes_rarity,Eyewear_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
6360,Okay Bear #3352,Cream,Striped Tee,Happy,,Pink,Okay Beanie,Pouting,13.26,3.5700000000000003,7.88,66.72,4.26,3.01,12.31,6361,3.92851253236695e-08,3.01,15.858571428571429,6
6361,Okay Bear #419,Cream,,Wide Eyed,,Sand,Sweatband,Hmm,13.26,19.650000000000002,2.6,66.72,8.18,3.52,3.02,6362,3.9304146915709385e-08,2.6,16.70714285714286,5
6362,Okay Bear #2915,Purple,Coat with Headphones,Okay,,Grizzly,Skate Cap,Huh,11.87,0.8999999999999999,20.23,66.72,14.399999999999999,5.510000000000001,3.44,6363,3.935660991852054e-08,0.8999999999999999,17.581428571428575,6
6363,Okay Bear #966,Purple,Sleeveless Tee,Disappointed,,Dark Brown,Bandana,Huh,11.87,2.86,9.4,66.72,12.68,4.24,3.44,6364,3.937714238517309e-08,2.86,15.887142857142859,6
6364,Okay Bear #8932,Grey,Legacy Windbreaker,Annoyed,,Black,,Beaming Smile,12.61,1.15,13.089999999999998,66.72,4.95,26.979999999999997,2.33,6365,3.9410475645508724e-08,1.15,18.26142857142857,5
6365,Okay Bear #538,White,Legacy Windbreaker,Annoyed,,Dark Brown,Earrings,Wry,12.65,1.15,13.089999999999998,66.72,12.68,2.6599999999999997,9.22,6366,3.951080346372105e-08,1.15,16.881428571428575,6
6366,Okay Bear #1141,Grey,Pullover Windbreaker,Okay,,Grizzly,Sticky Note,Huh,12.61,2.04,20.23,66.72,14.399999999999999,2.3,3.44,6367,3.9559058334490706e-08,2.04,17.391428571428573,6
6367,Okay Bear #2702,Blue,Overalls,Disappointed,,Ginger,Worn Out Beanie,Okay,12.520000000000001,1.39,9.4,66.72,6.0600000000000005,2.6,23.05,6368,3.963874740610937e-08,1.39,17.39142857142857,6
6368,Okay Bear #4536,Grey,Coat with Headphones,Okay,,Grizzly,Chullo,Okay,12.61,0.8999999999999999,20.23,66.72,14.399999999999999,0.7799999999999999,23.05,6369,3.965861478817405e-08,0.7799999999999999,19.812857142857144,6
6369,Okay Bear #4496,Cream,Tweed Suit,Defeated,,Grizzly,Beret,Okay,13.26,0.88,5.26,66.72,14.399999999999999,2.92,23.05,6370,3.969028809438512e-08,0.88,18.07,6
6370,Okay Bear #9990,Purple,Legacy Windbreaker,Okay,,Sand,Baker Boy Hat,Pouting,11.87,1.15,20.23,66.72,8.18,2.1399999999999997,12.31,6371,3.970320897779387e-08,1.15,17.514285714285716,6
6371,Okay Bear #6675,Cream,Golf Polo,Okay,,Tan,Worn Out Beanie,Hmm,13.26,2.0,20.23,66.72,14.13,2.6,3.02,6372,3.971438968852293e-08,2.0,17.422857142857143,6
6372,Okay Bear #1149,White,Striped Tee,Happy,,Black,Bandana,Clean Smile,12.65,3.5700000000000003,7.88,66.72,4.95,4.24,7.969999999999999,6373,3.971644551158031e-08,3.5700000000000003,15.425714285714283,6
6373,Okay Bear #6168,Warm Grey,Torn Sleeveless Tee,Okay,,Polar,Worn Out Cap,Gah,12.27,3.15,20.23,66.72,6.41,2.79,4.26,6374,3.974466756794386e-08,2.79,16.54714285714286,6
6374,Okay Bear #4604,Grey,Loose Overalls,Defeated,,Black,Skate Cap,Pouting,12.61,2.68,5.26,66.72,4.95,5.510000000000001,12.31,6375,3.982048204931177e-08,2.68,15.720000000000002,6
6375,Okay Bear #7505,Grey,Utility Vest,Okay,,Panda,,Ahh,12.61,1.97,20.23,66.72,3.9,26.979999999999997,1.13,6376,3.98674289556246e-08,1.13,19.077142857142857,5
6376,Okay Bear #8316,Yellow,,Okay,Aviator Sunglasses,Albino,Ear Tag,Okay,12.22,19.650000000000002,20.23,4.09,4.5600000000000005,1.91,23.05,6377,3.988614750744842e-08,1.91,12.244285714285715,6
6377,Okay Bear #6279,Cream,Puffer Jacket,Annoyed,,Andean,Mumford Hat,Okay,13.26,2.27,13.089999999999998,66.72,3.7699999999999996,1.7500000000000002,23.05,6378,3.997747810191616e-08,1.7500000000000002,17.701428571428572,6
6378,Okay Bear #7406,Blue,Striped Tee,Interested,,Andean,Sticky Note,Okay,12.520000000000001,3.5700000000000003,6.710000000000001,66.72,3.7699999999999996,2.3,23.05,6379,3.999366631154199e-08,2.3,16.94857142857143,6
6379,Okay Bear #1433,Grey,Woven Sweater,Interested,,Panda,Pencil,Okay,12.61,2.08,6.710000000000001,66.72,3.9,3.7900000000000005,23.05,6380,4.000660755819033e-08,2.08,16.98,6
6380,Okay Bear #24,Blue,,Sarcastic,Round Glasses,Grizzly,,Toothpick,12.520000000000001,19.650000000000002,9.65,3.74,14.399999999999999,26.979999999999997,1.16,6381,4.0015497967971604e-08,1.16,12.585714285714285,5
6381,Okay Bear #7428,Blue,Scarf,Annoyed,,Black,,Sneer,12.520000000000001,1.3,13.089999999999998,66.72,4.95,26.979999999999997,2.11,6382,4.005649681612907e-08,1.3,18.238571428571426,5
6382,Okay Bear #6726,Green,,Golden Glow,,Panda,Runner Cap,Wry,12.6,19.650000000000002,1.9900000000000002,66.72,3.9,3.39,9.22,6383,4.007166981331026e-08,1.9900000000000002,16.78142857142857,5
6383,Okay Bear #5560,Blue,Hawaiian Shirt,Disappointed,,Pink,Beret,Okay,12.520000000000001,1.78,9.4,66.72,4.26,2.92,23.05,6384,4.00748220610102e-08,1.78,17.235714285714288,6
6384,Okay Bear #8518,Grey,Okay Tee,Spirited,,Grizzly,Backwards Skate Cap,Wry,12.61,2.73,6.2,66.72,14.399999999999999,2.12,9.22,6385,4.0082493869723944e-08,2.12,16.28571428571429,6
6385,Okay Bear #8385,Cream,Woven Sweater,White Glow,,Sand,Runner Cap,Okay,13.26,2.08,3.4099999999999997,66.72,8.18,3.39,23.05,6386,4.010894209322172e-08,2.08,17.155714285714286,6
6386,Okay Bear #8167,Blue,Puffer Jacket,Disappointed,Holographic,Tan,,Okay,12.520000000000001,2.27,9.4,1.71,14.13,26.979999999999997,23.05,6387,4.014294098635315e-08,1.71,12.865714285714287,6
6387,Okay Bear #3827,Yellow,Pullover Windbreaker,Okay,,Wood,,Haa,12.22,2.04,20.23,66.72,2.01,26.979999999999997,2.1999999999999997,6388,4.014338377226214e-08,2.01,18.914285714285715,5
6388,Okay Bear #5376,Purple,Striped Tee,Happy,,Polar,Flat Cap,Okay,11.87,3.5700000000000003,7.88,66.72,6.41,1.22,23.05,6389,4.015965563349659e-08,1.22,17.245714285714286,6
6389,Okay Bear #5484,Green,Overalls,Sarcastic,,Green,Runner Cap,Okay,12.6,1.39,9.65,66.72,4.5600000000000005,3.39,23.05,6390,4.0179466594180174e-08,1.39,17.337142857142858,6
6390,Okay Bear #6853,Warm Grey,Olive Windbreaker,Happy,,Grizzly,Backwards Skate Cap,Clean Smile,12.27,2.56,7.88,66.72,14.399999999999999,2.12,7.969999999999999,6391,4.0181251339019344e-08,2.12,16.274285714285714,6
6391,Okay Bear #283,Yellow,Hawaiian Shirt,Disappointed,,Andean,Runner Cap,Okay,12.22,1.78,9.4,66.72,3.7699999999999996,3.39,23.05,6392,4.018713794041782e-08,1.78,17.19,6
6392,Okay Bear #5819,White,Travel Coat,Disappointed,Round Glasses,Grizzly,,Okay,12.65,1.01,9.4,3.74,14.399999999999999,26.979999999999997,23.05,6393,4.022413580269815e-08,1.01,13.032857142857145,6
6393,Okay Bear #6333,Blue,Sleeveless Tee,Sarcastic,,Grizzly,Skate Cap,Haa,12.520000000000001,2.86,9.65,66.72,14.399999999999999,5.510000000000001,2.1999999999999997,6394,4.024301261012398e-08,2.1999999999999997,16.265714285714285,6
6394,Okay Bear #6097,Blue,,Wide Eyed,,Green,Worn Out Beanie,Clean Smile,12.520000000000001,19.650000000000002,2.6,66.72,4.5600000000000005,2.6,7.969999999999999,6395,4.0326708987110704e-08,2.6,16.66,5
6395,Okay Bear #9078,Grey,,Okay,Clear Glasses,Grizzly,Worn Out Beanie,Proud,12.61,19.650000000000002,20.23,4.07,14.399999999999999,2.6,5.28,6396,4.0330879784279886e-08,2.6,11.262857142857143,6
6396,Okay Bear #3177,Yellow,Double Jacket,Disappointed,,Sand,,Worried,12.22,2.5100000000000002,9.4,66.72,8.18,26.979999999999997,0.95,6397,4.033180631487217e-08,0.95,18.137142857142855,5
6397,Okay Bear #9607,Grey,Autumn Sweater,Disappointed,Clear Glasses,Grizzly,,Pouting,12.61,1.7500000000000002,9.4,4.07,14.399999999999999,26.979999999999997,12.31,6398,4.037735706793588e-08,1.7500000000000002,11.645714285714286,6
6398,Okay Bear #7504,Cream,Torn Sleeveless Tee,Okay,,Sand,Flat Hat,Hmm,13.26,3.15,20.23,66.72,8.18,2.9000000000000004,3.02,6399,4.038910623063441e-08,2.9000000000000004,16.780000000000005,6
6399,Okay Bear #5100,Warm Grey,Vintage Windbreaker,Okay,,Tan,Bandana,Sneer,12.27,1.9300000000000002,20.23,66.72,14.13,4.24,2.11,6400,4.0405851731928164e-08,1.9300000000000002,17.375714285714288,6
6400,Okay Bear #3525,White,Hawaiian Shirt,Okay,,Black,Classic Cap,Clean Smile,12.65,1.78,20.23,66.72,4.95,3.37,7.969999999999999,6401,4.0406931316225444e-08,1.78,16.810000000000002,6
6401,Okay Bear #3277,Blue,Puffer Jacket,Okay,,Green,Flat Hat,Clean Smile,12.520000000000001,2.27,20.23,66.72,4.5600000000000005,2.9000000000000004,7.969999999999999,6402,4.042995597552803e-08,2.27,16.73857142857143,6
6402,Okay Bear #817,Blue,Denim Jacket,Okay,,Andean,Backwards Flat Cap,Okay,12.520000000000001,0.91,20.23,66.72,3.7699999999999996,3.0300000000000002,23.05,6403,4.049044502157391e-08,0.91,18.604285714285712,6
6403,Okay Bear #1913,Green,Denim Jacket,Tired,,Grizzly,Sweatband,Okay,12.6,0.91,4.54,66.72,14.399999999999999,3.52,23.05,6404,4.057886665119007e-08,0.91,17.962857142857143,6
6404,Okay Bear #9948,Cream,Black Tee,Robot,,Polar,,Clean Smile,13.26,3.83,0.8699999999999999,66.72,6.41,26.979999999999997,7.969999999999999,6405,4.0632718977915056e-08,0.8699999999999999,18.005714285714284,5
6405,Okay Bear #7113,Yellow,Sling Pack,Annoyed,,Green,Black Bucket Hat,Wry,12.22,2.1999999999999997,13.089999999999998,66.72,4.5600000000000005,4.12,9.22,6406,4.067078459884709e-08,2.1999999999999997,16.01857142857143,6
6406,Okay Bear #6034,White,Leather Jacket,Sarcastic,,Polar,Worn Out Beanie,Okay,12.65,1.3,9.65,66.72,6.41,2.6,23.05,6407,4.0674248347984683e-08,1.3,17.482857142857146,6
6407,Okay Bear #762,Green,Hooded Cardigan,Okay,Aviator Sunglasses,Panda,,Okay,12.6,1.6099999999999999,20.23,4.09,3.9,26.979999999999997,23.05,6408,4.070924931700138e-08,1.6099999999999999,13.208571428571428,6
6408,Okay Bear #6730,Purple,Double Jacket,Annoyed,,Tan,Worn Out Beanie,Gah,11.87,2.5100000000000002,13.089999999999998,66.72,14.13,2.6,4.26,6409,4.0723512843185463e-08,2.5100000000000002,16.454285714285714,6
6409,Okay Bear #3566,Grey,,Okay,,Wood,Worn Out Beanie,Beaming Smile,12.61,19.650000000000002,20.23,66.72,2.01,2.6,2.33,6410,4.072441815549041e-08,2.01,18.021428571428572,5
6410,Okay Bear #9333,White,Striped Tee,Disappointed,,Tan,Army Hat,Gah,12.65,3.5700000000000003,9.4,66.72,14.13,2.39,4.26,6411,4.0746686204385576e-08,2.39,16.16,6
6411,Okay Bear #5555,Grey,Loose Overalls,Happy,Pixel Glasses,Grizzly,,Pouting,12.61,2.68,7.88,3.2,14.399999999999999,26.979999999999997,12.31,6412,4.075571970771664e-08,2.68,11.437142857142858,6
6412,Okay Bear #9340,White,Sling Pack,Spirited,,Dark Brown,Backwards Flat Cap,Wry,12.65,2.1999999999999997,6.2,66.72,12.68,3.0300000000000002,9.22,6413,4.078061177072002e-08,2.1999999999999997,16.1,6
6413,Okay Bear #2767,White,Golf Polo,Spirited,,Ginger,Worn Out Cap,Okay,12.65,2.0,6.2,66.72,6.0600000000000005,2.79,23.05,6414,4.078645929176545e-08,2.0,17.06714285714286,6
6414,Okay Bear #1330,Cream,,Happy,,Andean,Runner Cap,Beaming Smile,13.26,19.650000000000002,7.88,66.72,3.7699999999999996,3.39,2.33,6415,4.079296787103141e-08,2.33,16.714285714285715,5
6415,Okay Bear #3460,White,Vintage Windbreaker,Happy,,Black,Worn Out Cap,Okay,12.65,1.9300000000000002,7.88,66.72,4.95,2.79,23.05,6416,4.086113459610593e-08,1.9300000000000002,17.13857142857143,6
6416,Okay Bear #7074,White,Polo with Headphones,Disappointed,,Tan,Worn Out Beanie,Pouting,12.65,1.1400000000000001,9.4,66.72,14.13,2.6,12.31,6417,4.0902780427736195e-08,1.1400000000000001,16.992857142857144,6
6417,Okay Bear #3573,Purple,Striped Tee,Sad,,Grizzly,Book,Okay,11.87,3.5700000000000003,5.07,66.72,14.399999999999999,0.86,23.05,6418,4.0918038354622845e-08,0.86,17.934285714285714,6
6418,Okay Bear #2520,Blue,,Happy,,Black,Skate Cap,Toothpick,12.520000000000001,19.650000000000002,7.88,66.72,4.95,5.510000000000001,1.16,6419,4.092266662712592e-08,1.16,16.912857142857142,5
6419,Okay Bear #3579,Purple,Striped Tee,Interested,,Polar,Head Cam,Okay,11.87,3.5700000000000003,6.710000000000001,66.72,6.41,1.46,23.05,6420,4.09241160833728e-08,1.46,17.112857142857145,6
6420,Okay Bear #2273,Purple,Olive Windbreaker,Happy,,Red Panda,,Huh,11.87,2.56,7.88,66.72,2.76,26.979999999999997,3.44,6421,4.0924408339269313e-08,2.56,17.458571428571428,5
6421,Okay Bear #684,Yellow,Striped Tee,Okay,,Sun,Classic Cap,Clean Smile,12.22,3.5700000000000003,20.23,66.72,2.59,3.37,7.969999999999999,6422,4.0961827919349934e-08,2.59,16.667142857142856,6
6422,Okay Bear #4380,White,Suede Jacket,Disappointed,,Panda,,Ohh,12.65,2.02,9.4,66.72,3.9,26.979999999999997,2.4299999999999997,6423,4.0976853979608506e-08,2.02,17.72857142857143,5
6423,Okay Bear #9419,Grey,,Interested,Wayfarer Sunglasses,Grizzly,Bandana,Wry,12.61,19.650000000000002,6.710000000000001,4.38,14.399999999999999,4.24,9.22,6424,4.099525023588344e-08,4.24,10.172857142857143,6
6424,Okay Bear #8941,Blue,Loose Overalls,Sad,,Dark Brown,Visor,Wry,12.520000000000001,2.68,5.07,66.72,12.68,3.09,9.22,6425,4.100263563281157e-08,2.68,15.997142857142858,6
6425,Okay Bear #5622,Blue,Cord Tracksuit,Okay,,Tan,Flat Hat,Gah,12.520000000000001,1.39,20.23,66.72,14.13,2.9000000000000004,4.26,6426,4.100348860636331e-08,1.39,17.45,6
6426,Okay Bear #4427,Cream,Polo with Headphones,Annoyed,,Sand,Black Bucket Hat,Wry,13.26,1.1400000000000001,13.089999999999998,66.72,8.18,4.12,9.22,6427,4.102281895296671e-08,1.1400000000000001,16.532857142857146,6
6427,Okay Bear #425,Warm Grey,Okay Tee,Tired,,Pink,Black Bucket Hat,Okay,12.27,2.73,4.54,66.72,4.26,4.12,23.05,6428,4.104845779032825e-08,2.73,16.812857142857144,6
6428,Okay Bear #280,Purple,,Closed,Snow Goggles,Tan,,Pouting,11.87,19.650000000000002,3.1,1.21,14.13,26.979999999999997,12.31,6429,4.105844505226023e-08,1.21,12.75,5
6429,Okay Bear #6503,Cream,,Closed,Clear Glasses,Wood,,Okay,13.26,19.650000000000002,3.1,4.07,2.01,26.979999999999997,23.05,6430,4.109330904709272e-08,2.01,13.16,5
6430,Okay Bear #7013,Warm Grey,,Sarcastic,,Albino,Army Hat,Ohh,12.27,19.650000000000002,9.65,66.72,4.5600000000000005,2.39,2.4299999999999997,6431,4.111113676401537e-08,2.39,16.81,5
6431,Okay Bear #8499,Cream,Hooded Cardigan,Okay,,Green,,Forced Smile,13.26,1.6099999999999999,20.23,66.72,4.5600000000000005,26.979999999999997,1.16,6432,4.112312385254939e-08,1.16,19.217142857142854,5
6432,Okay Bear #3171,Warm Grey,,Okay,VR Headset,Red Panda,,Pouting,12.27,19.650000000000002,20.23,0.9199999999999999,2.76,26.979999999999997,12.31,6433,4.113390189084709e-08,0.9199999999999999,13.588571428571429,5
6433,Okay Bear #7471,White,Pullover Windbreaker,Happy,,Pink,Visor,Okay,12.65,2.04,7.88,66.72,4.26,3.09,23.05,6434,4.116631153214904e-08,2.04,17.09857142857143,6
6434,Okay Bear #7690,Blue,,Sarcastic,Wayfarer Sunglasses,Tan,Sweatband,Clean Smile,12.520000000000001,19.650000000000002,9.65,4.38,14.13,3.52,7.969999999999999,6435,4.1220329035944144e-08,3.52,10.260000000000002,6
6435,Okay Bear #8284,Blue,Pullover Windbreaker,Okay,,Red Panda,Sweatband,Pouting,12.520000000000001,2.04,20.23,66.72,2.76,3.52,12.31,6436,4.122837477036117e-08,2.04,17.157142857142855,6
6436,Okay Bear #5731,Green,Hoodie with Headphones,White Glow,,Grizzly,Ear Tag,Okay,12.6,2.27,3.4099999999999997,66.72,14.399999999999999,1.91,23.05,6437,4.125471659369786e-08,1.91,17.765714285714285,6
6437,Okay Bear #2108,Grey,Sleeveless Tee,Interested,,Sand,Runner Cap,Wry,12.61,2.86,6.710000000000001,66.72,8.18,3.39,9.22,6438,4.1280371821972206e-08,2.86,15.670000000000002,6
6438,Okay Bear #3454,Cream,Olive Windbreaker,Defeated,,Tan,Earrings,Wry,13.26,2.56,5.26,66.72,14.13,2.6599999999999997,9.22,6439,4.128383091899654e-08,2.56,16.25857142857143,6
6439,Okay Bear #3718,Blue,,Closed,,Tan,Backwards Skate Cap,Oou,12.520000000000001,19.650000000000002,3.1,66.72,14.13,2.12,2.71,6440,4.1307786976077086e-08,2.12,17.27857142857143,5
6440,Okay Bear #5265,Cream,Hooded Cardigan,Interested,,Wood,,Clean Smile,13.26,1.6099999999999999,6.710000000000001,66.72,2.01,26.979999999999997,7.969999999999999,6441,4.1308961977922375e-08,1.6099999999999999,17.894285714285715,5
6441,Okay Bear #3759,Warm Grey,Striped Tee,White Glow,,Dark Brown,Earrings,Pouting,12.27,3.5700000000000003,3.4099999999999997,66.72,12.68,2.6599999999999997,12.31,6442,4.137920462494145e-08,2.6599999999999997,16.23142857142857,6
6442,Okay Bear #7042,Grey,Pullover Windbreaker,Closed,,Tan,Army Hat,Okay,12.61,2.04,3.1,66.72,14.13,2.39,23.05,6443,4.141655559469611e-08,2.04,17.720000000000002,6
6443,Okay Bear #8995,Blue,Woven Sweater,Okay,,Andean,Runner Cap,Wry,12.520000000000001,2.08,20.23,66.72,3.7699999999999996,3.39,9.22,6444,4.1418231739182814e-08,2.08,16.847142857142856,6
6444,Okay Bear #7447,White,Puffer Jacket,Disappointed,,Ginger,Black Bucket Hat,Wry,12.65,2.27,9.4,66.72,6.0600000000000005,4.12,9.22,6445,4.145730199647227e-08,2.27,15.77714285714286,6
6445,Okay Bear #3672,Grey,Hoodie with Headphones,Okay,,Grizzly,Mumford Hat,Gah,12.61,2.27,20.23,66.72,14.399999999999999,1.7500000000000002,4.26,6446,4.147658621898704e-08,1.7500000000000002,17.462857142857143,6
6446,Okay Bear #7134,Warm Grey,Summer Shirt,Okay,,Green,Okay Beanie,Clean Smile,12.27,2.29,20.23,66.72,4.5600000000000005,3.01,7.969999999999999,6447,4.1487916478175814e-08,2.29,16.72142857142857,6
6447,Okay Bear #326,Cream,Hoodie with Headphones,Closed,,Sand,,Hmm,13.26,2.27,3.1,66.72,8.18,26.979999999999997,3.02,6448,4.149438237446924e-08,2.27,17.647142857142857,5
6448,Okay Bear #2414,Warm Grey,,Spirited,,Sand,Classic Cap,Ugh,12.27,19.650000000000002,6.2,66.72,8.18,3.37,1.51,6449,4.151595154554702e-08,1.51,16.842857142857145,5
6449,Okay Bear #2665,White,,Annoyed,Circle Sunglasses,Dark Brown,Flat Hat,Pouting,12.65,19.650000000000002,13.089999999999998,2.82,12.68,2.9000000000000004,12.31,6450,4.153527970997757e-08,2.82,10.87142857142857,6
6450,Okay Bear #5860,Purple,Golf Polo,Happy,,Grizzly,Flat Hat,Clean Smile,11.87,2.0,7.88,66.72,14.399999999999999,2.9000000000000004,7.969999999999999,6451,4.154146240239821e-08,2.0,16.24857142857143,6
6451,Okay Bear #6933,Warm Grey,Summer Shirt,Happy,,Grizzly,Backwards Skate Cap,Wry,12.27,2.29,7.88,66.72,14.399999999999999,2.12,9.22,6452,4.158067874263776e-08,2.12,16.414285714285715,6
6452,Okay Bear #7438,Purple,Sleeveless Tee,Disappointed,,Dark Brown,Beret,Proud,11.87,2.86,9.4,66.72,12.68,2.92,5.28,6453,4.162331549183061e-08,2.86,15.961428571428574,6
6453,Okay Bear #9731,White,Striped Tee,Spirited,,Green,Backwards Skate Cap,Okay,12.65,3.5700000000000003,6.2,66.72,4.5600000000000005,2.12,23.05,6454,4.162728650109766e-08,2.12,16.981428571428573,6
6454,Okay Bear #5556,Green,,Defeated,Round Glasses,Grizzly,,Haa,12.6,19.650000000000002,5.26,3.74,14.399999999999999,26.979999999999997,2.1999999999999997,6455,4.1631069155284224e-08,2.1999999999999997,12.118571428571428,5
6455,Okay Bear #1395,White,Striped Tee,White Glow,,Dark Brown,Worn Out Beanie,Pouting,12.65,3.5700000000000003,3.4099999999999997,66.72,12.68,2.6,12.31,6456,4.169844048122521e-08,2.6,16.277142857142856,6
6456,Okay Bear #6610,Grey,,Annoyed,,Sand,Chullo,Hmm,12.61,19.650000000000002,13.089999999999998,66.72,8.18,0.7799999999999999,3.02,6457,4.169924336838541e-08,0.7799999999999999,17.72142857142857,5
6457,Okay Bear #1205,White,Loose Overalls,Spirited,,Pink,Backwards Flat Cap,Okay,12.65,2.68,6.2,66.72,4.26,3.0300000000000002,23.05,6458,4.172498641955446e-08,2.68,16.941428571428574,6
6458,Okay Bear #6091,Grey,Torn Sleeveless Tee,Spirited,,Tan,Chullo,Okay,12.61,3.15,6.2,66.72,14.13,0.7799999999999999,23.05,6459,4.174275047016504e-08,0.7799999999999999,18.091428571428573,6
6459,Okay Bear #3147,Blue,Black Tee,Okay,Wayfarer Sunglasses,Grizzly,,Raspberry,12.520000000000001,3.83,20.23,4.38,14.399999999999999,26.979999999999997,2.53,6460,4.1763612228715775e-08,2.53,12.124285714285714,6
6460,Okay Bear #4145,Warm Grey,,Tired,,Red Panda,Worn Out Beanie,Clean Smile,12.27,19.650000000000002,4.54,66.72,2.76,2.6,7.969999999999999,6461,4.176954643126982e-08,2.6,16.644285714285715,5
6461,Okay Bear #2285,Grey,Loose Overalls,Happy,Wayfarer Sunglasses,Grizzly,,Wry,12.61,2.68,7.88,4.38,14.399999999999999,26.979999999999997,9.22,6462,4.178164811100085e-08,2.68,11.164285714285713,6
6462,Okay Bear #8653,Grey,Overalls,Annoyed,,Grizzly,Skate Cap,Huh,12.61,1.39,13.089999999999998,66.72,14.399999999999999,5.510000000000001,3.44,6463,4.178285430342434e-08,1.39,16.73714285714286,6
6463,Okay Bear #8159,Green,Golf Polo,Okay,,Sand,Flat Cap,Pouting,12.6,2.0,20.23,66.72,8.18,1.22,12.31,6464,4.1785311921178304e-08,1.22,17.60857142857143,6
6464,Okay Bear #670,White,Puffer Jacket,Okay,,Ginger,Classic Cap,Proud,12.65,2.27,20.23,66.72,6.0600000000000005,3.37,5.28,6465,4.179311583774439e-08,2.27,16.654285714285717,6
6465,Okay Bear #1262,Warm Grey,,Annoyed,,Grizzly,Flat Cap,Ahh,12.27,19.650000000000002,13.089999999999998,66.72,14.399999999999999,1.22,1.13,6466,4.180262631634526e-08,1.13,18.354285714285716,5
6466,Okay Bear #4329,Grey,Vintage Shirt,Happy,,Sand,Sweatband,Clean Smile,12.61,2.75,7.88,66.72,8.18,3.52,7.969999999999999,6467,4.1839291733264754e-08,2.75,15.661428571428571,6
6467,Okay Bear #1062,Grey,Leather Jacket,Okay,Punk Sunglasses,Tan,,Pouting,12.61,1.3,20.23,2.69,14.13,26.979999999999997,12.31,6468,4.1864775029963416e-08,1.3,12.892857142857142,6
6468,Okay Bear #7675,Grey,Utility Vest,Annoyed,,Dark Brown,Ear Tag,Clean Smile,12.61,1.97,13.089999999999998,66.72,12.68,1.91,7.969999999999999,6469,4.187819348637248e-08,1.91,16.70714285714286,6
6469,Okay Bear #4376,Purple,Sleeveless Tee,Okay,,Grizzly,Okay Beanie,Sneer,11.87,2.86,20.23,66.72,14.399999999999999,3.01,2.11,6470,4.1906376978728795e-08,2.11,17.314285714285713,6
6470,Okay Bear #5086,Grey,Torn Sleeveless Tee,Annoyed,,Sun,Pencil,Pouting,12.61,3.15,13.089999999999998,66.72,2.59,3.7900000000000005,12.31,6471,4.191971791312816e-08,2.59,16.322857142857146,6
6471,Okay Bear #5425,White,,Sad,,Dark Brown,Runner Cap,Toothpick,12.65,19.650000000000002,5.07,66.72,12.68,3.39,1.16,6472,4.19270221746366e-08,1.16,17.331428571428575,5
6472,Okay Bear #2900,White,Double Jacket,Okay,,Ginger,Pencil,Gah,12.65,2.5100000000000002,20.23,66.72,6.0600000000000005,3.7900000000000005,4.26,6473,4.1931229860631555e-08,2.5100000000000002,16.602857142857143,6
6473,Okay Bear #6273,Grey,Utility Vest,Disappointed,,Tan,Army Hat,Clean Smile,12.61,1.97,9.4,66.72,14.13,2.39,7.969999999999999,6474,4.193373903722198e-08,1.97,16.455714285714286,6
6474,Okay Bear #5656,Purple,Hawaiian Shirt,Happy,Pixel Glasses,Dark Brown,,Okay,11.87,1.78,7.88,3.2,12.68,26.979999999999997,23.05,6475,4.201255032306198e-08,1.78,12.491428571428571,6
6475,Okay Bear #426,Blue,,Disappointed,Circle Sunglasses,Sun,,Wry,12.520000000000001,19.650000000000002,9.4,2.82,2.59,26.979999999999997,9.22,6476,4.201617139126669e-08,2.59,11.882857142857144,5
6476,Okay Bear #9603,Grey,Olive Windbreaker,Golden Glow,,Blueprint,,Okay,12.61,2.56,1.9900000000000002,66.72,1.58,26.979999999999997,23.05,6477,4.211474039462341e-08,1.58,19.35571428571428,5
6477,Okay Bear #2078,White,Summer Shirt,Okay,,Ginger,Classic Cap,Proud,12.65,2.29,20.23,66.72,6.0600000000000005,3.37,5.28,6478,4.216133712265844e-08,2.29,16.657142857142862,6
6478,Okay Bear #3753,Blue,Double Jacket,White Glow,,Dark Brown,Pencil,Pouting,12.520000000000001,2.5100000000000002,3.4099999999999997,66.72,12.68,3.7900000000000005,12.31,6479,4.2296553766456627e-08,2.5100000000000002,16.27714285714286,6
6479,Okay Bear #6594,Purple,Suede Jacket,Annoyed,Pixel Glasses,Dark Brown,,Pouting,11.87,2.02,13.089999999999998,3.2,12.68,26.979999999999997,12.31,6480,4.229713633299584e-08,2.02,11.735714285714286,6
6480,Okay Bear #3343,Purple,,Annoyed,Pixel Glasses,Albino,Black Bucket Hat,Okay,11.87,19.650000000000002,13.089999999999998,3.2,4.5600000000000005,4.12,23.05,6481,4.23093045686218e-08,3.2,11.362857142857143,6
6481,Okay Bear #5297,Yellow,Striped Tee,Annoyed,,Tan,Flat Hat,Oou,12.22,3.5700000000000003,13.089999999999998,66.72,14.13,2.9000000000000004,2.71,6482,4.231014920163639e-08,2.71,16.47714285714286,6
6482,Okay Bear #2311,White,Polo with Headphones,Happy,,Dark Brown,Ear Tag,Okay,12.65,1.1400000000000001,7.88,66.72,12.68,1.91,23.05,6483,4.232541085166046e-08,1.1400000000000001,18.004285714285714,6
