name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity
Okay Bear #5382,Grey,Sling Pack,Golden Glow,,Tan,Baker Boy Hat,Yoyo,0.1261,0.1413,0.0048,0.0199,0.022,0.6672,0.0214
Okay Bear #5383,Cream,Torn Sleeveless Tee,Annoyed,Flying Goggles,Ginger,Earrings,Beaming Smile,0.1326,0.0606,0.0233,0.1309,0.0315,0.0183,0.0266
Okay Bear #5384,White,Olive Windbreaker,Happy,Aviator Sunglasses,Grizzly,Baker Boy Hat,Grimace,0.1265,0.144,0.0099,0.0788,0.0256,0.0409,0.0214
Okay Bear #5385,Blue,,Sad,Aviator Sunglasses,Sun,Skate Cap,Gah,0.1252,0.0259,0.0426,0.0507,0.1965,0.0409,0.0551
Okay Bear #5386,White,,Annoyed,,Polar,Runner Cap,Sneer,0.1265,0.0641,0.0211,0.1309,0.1965,0.6672,0.0339
Okay Bear #5387,Yellow,Loose Overalls,Interested,,Sand,Ear Tag,Okay,0.1222,0.0818,0.2305,0.0671,0.0268,0.6672,0.0191
Okay Bear #5388,Cream,Striped Tee,Okay,,Polar,Black Bucket Hat,Okay,0.1326,0.0641,0.2305,0.2023,0.0357,0.6672,0.0412
Okay Bear #5389,Grey,Olive Windbreaker,Okay,Punk Sunglasses,Panda,Rubik's Cube,Huh,0.1261,0.039,0.0344,0.2023,0.0256,0.0269,0.0041
Okay Bear #539,Cream,,Tired,,Pink,,Clean Smile,0.1326,0.0426,0.0797,0.0454,0.1965,0.6672,0.2698
Okay Bear #5390,Grey,,Tired,,Dark Brown,Army Hat,Okay,0.1261,0.1268,0.2305,0.0454,0.1965,0.6672,0.0239
Okay Bear #5391,Yellow,,Okay,,Sand,,Beaming Smile,0.1222,0.0818,0.0233,0.2023,0.1965,0.6672,0.2698
Okay Bear #5392,Warm Grey,Double Jacket,Disappointed,,Andean,Worn Out Beanie,Gah,0.1227,0.0377,0.0426,0.094,0.0251,0.6672,0.026
Okay Bear #5393,Yellow,Sling Pack,Disappointed,,Grizzly,Backwards Skate Cap,Okay,0.1222,0.144,0.2305,0.094,0.022,0.6672,0.0212
Okay Bear #5394,Purple,Leather Jacket,Disappointed,Holographic,Green,Beret,Okay,0.1187,0.0456,0.2305,0.094,0.013,0.0171,0.0292
Okay Bear #5395,Cream,Black Tee,Sarcastic,,Sand,Bandana,Okay,0.1326,0.0818,0.2305,0.0965,0.0383,0.6672,0.0424
Okay Bear #5396,Yellow,Torn Sleeveless Tee,Defeated,Round Glasses,Sand,Worn Out Cap,Wry,0.1222,0.0818,0.0922,0.0526,0.0315,0.0374,0.0279
Okay Bear #5397,Cream,Torn Tee,Okay,,Dark Brown,Chullo,Wry,0.1326,0.1268,0.0922,0.2023,0.0104,0.6672,0.0078
Okay Bear #5398,Warm Grey,Fur Coat,Okay,,Andean,Okay Beanie,Clean Smile,0.1227,0.0377,0.0797,0.2023,0.0038,0.6672,0.0301
Okay Bear #5399,Green,,Spirited,,Pink,Okay Beanie,Wry,0.126,0.0426,0.0922,0.062,0.1965,0.6672,0.0301
Okay Bear #54,Yellow,Puffer Jacket,Disappointed,Wayfarer Sunglasses,Panda,Flat Hat,Beaming Smile,0.1222,0.039,0.0233,0.094,0.0227,0.0438,0.029
Okay Bear #540,Green,Double Jacket,Defeated,Wayfarer Sunglasses,Green,,Worried,0.126,0.0456,0.0095,0.0526,0.0251,0.0438,0.2698
Okay Bear #5400,Blue,Okay Tee,Interested,,Andean,,Proud,0.1252,0.0377,0.0528,0.0671,0.0273,0.6672,0.2698
Okay Bear #5401,Blue,Black Tee,Spirited,,Andean,,Beaming Smile,0.1252,0.0377,0.0233,0.062,0.0383,0.6672,0.2698
Okay Bear #5402,Warm Grey,Tweed Suit,Tired,,Green,,Raspberry,0.1227,0.0456,0.0253,0.0454,0.0088,0.6672,0.2698
Okay Bear #5403,Warm Grey,,Sad,Aviator Sunglasses,Polar,,Earphones,0.1227,0.0641,0.0049,0.0507,0.1965,0.0409,0.2698
Okay Bear #5404,Blue,Utility Vest,Okay,Holographic,Wood,,Okay,0.1252,0.0201,0.2305,0.2023,0.0197,0.0171,0.2698
Okay Bear #5405,Blue,Tech Jacket,Interested,Round Glasses,Grizzly,,Hmm,0.1252,0.144,0.0302,0.0671,0.0104,0.0374,0.2698
Okay Bear #5406,Cream,Striped Tee,Interested,,Wood,Mumford Hat,Sneer,0.1326,0.0201,0.0211,0.0671,0.0357,0.6672,0.0175
Okay Bear #5407,Warm Grey,,Wide Eyed,Clear Glasses,Sand,Black Bucket Hat,Okay,0.1227,0.0818,0.2305,0.026,0.1965,0.0407,0.0412
Okay Bear #5408,Grey,Formal Vest,Okay,,Grizzly,Classic Cap,Grimace,0.1261,0.144,0.0099,0.2023,0.0157,0.6672,0.0337
Okay Bear #5409,White,Golf Polo,Happy,,Ginger,Pom Pom Beanie,Pouting,0.1265,0.0606,0.1231,0.0788,0.02,0.6672,0.0256
Okay Bear #541,Yellow,Striped Tee,Disappointed,,Dark Brown,Backwards Skate Cap,Okay,0.1222,0.1268,0.2305,0.094,0.0357,0.6672,0.0212
Okay Bear #5410,Green,Autumn Sweater,Sarcastic,VR Headset,Tan,,Okay,0.126,0.1413,0.2305,0.0965,0.0175,0.0092,0.2698
Okay Bear #5411,Yellow,Autumn Sweater,Okay,,Grizzly,Surf Bucket Hat,Okay,0.1222,0.144,0.2305,0.2023,0.0175,0.6672,0.0133
Okay Bear #5412,Grey,Faded Denim Jacket,Disappointed,,Grizzly,,Pouting,0.1261,0.144,0.1231,0.094,0.0193,0.6672,0.2698
Okay Bear #5413,Cream,,Sarcastic,Clear Glasses,Dark Brown,Sweatband,Forced Smile,0.1326,0.1268,0.0116,0.0965,0.1965,0.0407,0.0352
Okay Bear #5414,Grey,Formal Vest,Spirited,,Tan,Chullo,Grimace,0.1261,0.1413,0.0099,0.062,0.0157,0.6672,0.0078
Okay Bear #5415,Cream,,Happy,Round Glasses,Grizzly,Sweatband,Worried,0.1326,0.144,0.0095,0.0788,0.1965,0.0374,0.0352
Okay Bear #5416,Cream,Hooded Cardigan,Sad,Punk Sunglasses,Panda,Book,Okay,0.1326,0.039,0.2305,0.0507,0.0161,0.0269,0.0086
Okay Bear #5417,Yellow,Loose Overalls,Okay,Wayfarer Sunglasses,Panda,,Clean Smile,0.1222,0.039,0.0797,0.2023,0.0268,0.0438,0.2698
Okay Bear #5418,Yellow,Okay Tee,Happy,,Sand,Flat Hat,Oou,0.1222,0.0818,0.0271,0.0788,0.0273,0.6672,0.029
Okay Bear #5419,Green,Sleeveless Tee,Defeated,Wayfarer Sunglasses,Grizzly,Rabbit Fur Hat,Wry,0.126,0.144,0.0922,0.0526,0.0286,0.0438,0.0085
Okay Bear #542,Cream,Torn Sleeveless Tee,Sarcastic,,Albino,Flat Hat,Oou,0.1326,0.0456,0.0271,0.0965,0.0315,0.6672,0.029
Okay Bear #5420,White,Torn Sleeveless Tee,Disappointed,,Tan,Backwards Skate Cap,Worried,0.1265,0.1413,0.0095,0.094,0.0315,0.6672,0.0212
Okay Bear #5421,Yellow,Vintage Windbreaker,Tired,,Panda,Classic Cap,Okay,0.1222,0.039,0.2305,0.0454,0.0193,0.6672,0.0337
Okay Bear #5422,White,,Annoyed,Barrel Sunglasses,Sand,Runner Cap,Okay,0.1265,0.0818,0.2305,0.1309,0.1965,0.0211,0.0339
Okay Bear #5423,White,Vintage Windbreaker,Spirited,,Pink,,Haa,0.1265,0.0426,0.022,0.062,0.0193,0.6672,0.2698
Okay Bear #5424,Grey,Suede Jacket,Okay,Wayfarer Sunglasses,Pink,Army Hat,Raspberry,0.1261,0.0426,0.0253,0.2023,0.0202,0.0438,0.0239
Okay Bear #5425,White,,Sad,,Dark Brown,Runner Cap,Toothpick,0.1265,0.1268,0.0116,0.0507,0.1965,0.6672,0.0339
Okay Bear #5426,Warm Grey,,Tired,Wayfarer Sunglasses,Dark Brown,Bandana,Okay,0.1227,0.1268,0.2305,0.0454,0.1965,0.0438,0.0424
Okay Bear #5427,Blue,,Sarcastic,,Green,Okay Beanie,Wheat,0.1252,0.0456,0.0217,0.0965,0.1965,0.6672,0.0301
Okay Bear #5428,Blue,Insulated Jacket,Disappointed,,Ginger,Visor,Gah,0.1252,0.0606,0.0426,0.094,0.0155,0.6672,0.0309
Okay Bear #5429,Yellow,,Disappointed,,Ginger,Flat Hat,Grimace,0.1222,0.0606,0.0099,0.094,0.1965,0.6672,0.029
Okay Bear #543,Cream,Scarf,Disappointed,Circle Sunglasses,Tan,Pencil,Okay,0.1326,0.1413,0.2305,0.094,0.013,0.0282,0.0379
Okay Bear #5430,Grey,Double Jacket,Wide Eyed,,Dark Brown,Worn Out Beanie,Proud,0.1261,0.1268,0.0528,0.026,0.0251,0.6672,0.026
Okay Bear #5431,Cream,Lumber Jacket,Okay,Aviator Sunglasses,Polar,Backwards Flat Cap,Proud,0.1326,0.0641,0.0528,0.2023,0.0124,0.0409,0.0303
Okay Bear #5432,Purple,Winter Scarf,Sarcastic,,Tan,Worn Out Beanie,Pouting,0.1187,0.1413,0.1231,0.0965,0.006,0.6672,0.026
Okay Bear #5433,Green,Camel Coat,Annoyed,Aviator Sunglasses,Tan,Head Cam,Pouting,0.126,0.1413,0.1231,0.1309,0.0116,0.0409,0.0146
Okay Bear #5434,Blue,Utility Vest,Annoyed,Round Glasses,Panda,Skate Cap,Grimace,0.1252,0.039,0.0099,0.1309,0.0197,0.0374,0.0551
Okay Bear #5435,Warm Grey,,Sad,,Dark Brown,Army Hat,Wry,0.1227,0.1268,0.0922,0.0507,0.1965,0.6672,0.0239
Okay Bear #5436,Green,Insulated Jacket,Robot,,Polar,Book,Pouting,0.126,0.0641,0.1231,0.0087,0.0155,0.6672,0.0086
Okay Bear #5437,Cream,Sleeveless Tee,Okay,,Dark Brown,,Clean Smile,0.1326,0.1268,0.0797,0.2023,0.0286,0.6672,0.2698
Okay Bear #5438,White,Sleeveless Tee,Closed,Round Glasses,Tan,Earrings,Clean Smile,0.1265,0.1413,0.0797,0.031,0.0286,0.0374,0.0266
Okay Bear #5439,White,Utility Vest,Spirited,,Pink,Runner Cap,Wry,0.1265,0.0426,0.0922,0.062,0.0197,0.6672,0.0339
Okay Bear #544,Green,,Golden Glow,,Red Panda,Mumford Hat,Huh,0.126,0.0276,0.0344,0.0199,0.1965,0.6672,0.0175
Okay Bear #5440,Blue,Polo with Headphones,Okay,Aviator Sunglasses,Black,Backwards Flat Cap,Okay,0.1252,0.0495,0.2305,0.2023,0.0114,0.0409,0.0303
Okay Bear #5441,Warm Grey,Winter Scarf,Okay,Punk Sunglasses,Polar,,Hmm,0.1227,0.0641,0.0302,0.2023,0.006,0.0269,0.2698
Okay Bear #5442,Green,Vintage Shirt,Defeated,Holographic,Black,Sticky Note,Clean Smile,0.126,0.0495,0.0797,0.0526,0.0275,0.0171,0.023
Okay Bear #5443,Yellow,Vintage Windbreaker,Okay,Flying Goggles,Dark Brown,,Proud,0.1222,0.1268,0.0528,0.2023,0.0193,0.0183,0.2698
Okay Bear #5444,Yellow,,Okay,,Wood,Worn Out Beanie,Toothpick,0.1222,0.0201,0.0116,0.2023,0.1965,0.6672,0.026
Okay Bear #5445,Yellow,,Spirited,,Dark Brown,Rabbit Fur Hat,Haa,0.1222,0.1268,0.022,0.062,0.1965,0.6672,0.0085
Okay Bear #5446,Purple,,Happy,,Green,Flat Cap,Wry,0.1187,0.0456,0.0922,0.0788,0.1965,0.6672,0.0122
Okay Bear #5447,Yellow,Cord Tracksuit,Okay,Barrel Sunglasses,Polar,,Pencil,0.1222,0.0641,0.0081,0.2023,0.0139,0.0211,0.2698
Okay Bear #5448,Grey,Double Jacket,Okay,Pixel Glasses,Sand,Backwards Flat Cap,Ugh,0.1261,0.0818,0.0151,0.2023,0.0251,0.032,0.0303
Okay Bear #5449,Green,Puffer Jacket,Golden Glow,,Dark Brown,,Okay,0.126,0.1268,0.2305,0.0199,0.0227,0.6672,0.2698
Okay Bear #545,Green,Camel Coat,Annoyed,,Ginger,,Pencil,0.126,0.0606,0.0081,0.1309,0.0116,0.6672,0.2698
Okay Bear #5450,White,Black Tee,Okay,Clear Glasses,Green,Okay Beanie,Earphones,0.1265,0.0456,0.0049,0.2023,0.0383,0.0407,0.0301
Okay Bear #5451,Warm Grey,Cord Tracksuit,Interested,,Tan,Classic Cap,Okay,0.1227,0.1413,0.2305,0.0671,0.0139,0.6672,0.0337
Okay Bear #5452,Grey,Black Tee,Spirited,Punk Sunglasses,Ginger,Worn Out Cap,Clean Smile,0.1261,0.0606,0.0797,0.062,0.0383,0.0269,0.0279
Okay Bear #5453,Grey,Okay Hoodie,Sarcastic,Aviator Sunglasses,Black,Ear Tag,Proud,0.1261,0.0495,0.0528,0.0965,0.015,0.0409,0.0191
Okay Bear #5454,Warm Grey,Suede Jacket,Okay,,Dark Brown,Flat Hat,Wry,0.1227,0.1268,0.0922,0.2023,0.0202,0.6672,0.029
Okay Bear #5455,Blue,Wool Overcoat,White Glow,,Grizzly,Army Hat,Proud,0.1252,0.144,0.0528,0.0341,0.012,0.6672,0.0239
Okay Bear #5456,Purple,Golf Polo,Disappointed,Barrel Sunglasses,Tan,Skate Cap,Okay,0.1187,0.1413,0.2305,0.094,0.02,0.0211,0.0551
Okay Bear #5457,Cream,Overalls,Okay,,Dark Brown,Backwards Flat Cap,Oou,0.1326,0.1268,0.0271,0.2023,0.0139,0.6672,0.0303
Okay Bear #5458,Green,Black Tee,Defeated,,Tan,Backwards Flat Cap,Okay,0.126,0.1413,0.2305,0.0526,0.0383,0.6672,0.0303
Okay Bear #5459,Yellow,Pullover Windbreaker,Happy,,Grizzly,Visor,Pouting,0.1222,0.144,0.1231,0.0788,0.0204,0.6672,0.0309
Okay Bear #546,Blue,,Wide Eyed,,Andean,Skate Cap,Okay,0.1252,0.0377,0.2305,0.026,0.1965,0.6672,0.0551
Okay Bear #5460,Purple,Leather Jacket,Defeated,Aviator Sunglasses,Dark Brown,Black Bucket Hat,Pouting,0.1187,0.1268,0.1231,0.0526,0.013,0.0409,0.0412
Okay Bear #5461,Purple,,Disappointed,,Sand,Baker Boy Hat,Pouting,0.1187,0.0818,0.1231,0.094,0.1965,0.6672,0.0214
Okay Bear #5462,White,Tweed Suit,Disappointed,,Red Panda,Sweatband,Okay,0.1265,0.0276,0.2305,0.094,0.0088,0.6672,0.0352
Okay Bear #5463,Yellow,Sleeveless Tee,Okay,,Dark Brown,Flat Hat,Gah,0.1222,0.1268,0.0426,0.2023,0.0286,0.6672,0.029
Okay Bear #5464,Purple,Hoodie with Headphones,Sad,,Red Panda,Worn Out Cap,Beaming Smile,0.1187,0.0276,0.0233,0.0507,0.0227,0.6672,0.0279
Okay Bear #5465,Warm Grey,Cord Tracksuit,Annoyed,Snow Goggles,Sun,,Gaiter,0.1227,0.0259,0.0057,0.1309,0.0139,0.0121,0.2698
Okay Bear #5466,Yellow,,Annoyed,Aviator Sunglasses,Red Panda,Baker Boy Hat,Okay,0.1222,0.0276,0.2305,0.1309,0.1965,0.0409,0.0214
Okay Bear #5467,Blue,Cord Tracksuit,Annoyed,Barrel Sunglasses,Green,Sweatband,Wry,0.1252,0.0456,0.0922,0.1309,0.0139,0.0211,0.0352
Okay Bear #5468,Warm Grey,Woven Sweater,Defeated,,Albino,,Proud,0.1227,0.0456,0.0528,0.0526,0.0208,0.6672,0.2698
Okay Bear #5469,Blue,Vintage Windbreaker,Spirited,,Tan,,Clean Smile,0.1252,0.1413,0.0797,0.062,0.0193,0.6672,0.2698
Okay Bear #547,Yellow,Hoodie with Headphones,Annoyed,,Grizzly,Chullo,Okay,0.1222,0.144,0.2305,0.1309,0.0227,0.6672,0.0078
Okay Bear #5470,Yellow,,Happy,,Tan,,Ahh,0.1222,0.1413,0.0113,0.0788,0.1965,0.6672,0.2698
Okay Bear #5471,Green,Leather Jacket,Defeated,Wayfarer Sunglasses,Albino,Pencil,Wry,0.126,0.0456,0.0922,0.0526,0.013,0.0438,0.0379
Okay Bear #5472,Grey,Faded Denim Jacket,Okay,,Polar,Sweatband,Pouting,0.1261,0.0641,0.1231,0.2023,0.0193,0.6672,0.0352
Okay Bear #5473,Yellow,Golf Polo,Annoyed,,Sun,,Pouting,0.1222,0.0259,0.1231,0.1309,0.02,0.6672,0.2698
Okay Bear #5474,Yellow,Torn Tee,Annoyed,,Green,Visor,Pouting,0.1222,0.0456,0.1231,0.1309,0.0104,0.6672,0.0309
Okay Bear #5475,Yellow,Wool Overcoat,Okay,,Polar,Worn Out Cap,Okay,0.1222,0.0641,0.2305,0.2023,0.012,0.6672,0.0279
Okay Bear #5476,Blue,Winter Scarf,Defeated,,Panda,Visor,Proud,0.1252,0.039,0.0528,0.0526,0.006,0.6672,0.0309
Okay Bear #5477,Yellow,Hoodie with Headphones,Spirited,Wayfarer Sunglasses,Tan,Mumford Hat,Pouting,0.1222,0.1413,0.1231,0.062,0.0227,0.0438,0.0175
Okay Bear #5478,Blue,Olive Windbreaker,Disappointed,Aviator Sunglasses,Pink,Army Hat,Okay,0.1252,0.0426,0.2305,0.094,0.0256,0.0409,0.0239
Okay Bear #5479,White,Vintage Shirt,Okay,,Grizzly,Surf Bucket Hat,Clean Smile,0.1265,0.144,0.0797,0.2023,0.0275,0.6672,0.0133
Okay Bear #548,Blue,Torn Sleeveless Tee,Sarcastic,,Wood,,Okay,0.1252,0.0201,0.2305,0.0965,0.0315,0.6672,0.2698
Okay Bear #5480,Grey,,Annoyed,,Red Panda,,Asparagus,0.1261,0.0276,0.0076,0.1309,0.1965,0.6672,0.2698
Okay Bear #5481,White,Pullover Windbreaker,Wide Eyed,Punk Sunglasses,Tan,,Pouting,0.1265,0.1413,0.1231,0.026,0.0204,0.0269,0.2698
Okay Bear #5482,Blue,Overalls,Annoyed,,Lofi,,Okay,0.1252,0.0196,0.2305,0.1309,0.0139,0.6672,0.2698
Okay Bear #5483,Green,Torn Sleeveless Tee,Sarcastic,Punk Sunglasses,Dark Brown,Visor,Bubble Gum,0.126,0.1268,0.0101,0.0965,0.0315,0.0269,0.0309
Okay Bear #5484,Green,Overalls,Sarcastic,,Green,Runner Cap,Okay,0.126,0.0456,0.2305,0.0965,0.0139,0.6672,0.0339
Okay Bear #5485,Purple,Urban Hoodie,Robot,,Panda,Ear Tag,Wry,0.1187,0.039,0.0922,0.0087,0.012,0.6672,0.0191
Okay Bear #5486,Warm Grey,Lumber Jacket,Annoyed,,Polar,Black Bucket Hat,Haa,0.1227,0.0641,0.022,0.1309,0.0124,0.6672,0.0412
Okay Bear #5487,Yellow,Golf Polo,Okay,,Ginger,Classic Cap,Okay,0.1222,0.0606,0.2305,0.2023,0.02,0.6672,0.0337
Okay Bear #5488,Blue,,Okay,,Grizzly,Backwards Skate Cap,Okay,0.1252,0.144,0.2305,0.2023,0.1965,0.6672,0.0212
Okay Bear #5489,Yellow,Sling Pack,Sad,,Tan,Black Bucket Hat,Huh,0.1222,0.1413,0.0344,0.0507,0.022,0.6672,0.0412
Okay Bear #549,Purple,Autumn Sweater,Defeated,,Grizzly,Chullo,Okay,0.1187,0.144,0.2305,0.0526,0.0175,0.6672,0.0078
Okay Bear #5490,Cream,Faded Denim Jacket,Okay,,Grizzly,,Pouting,0.1326,0.144,0.1231,0.2023,0.0193,0.6672,0.2698
Okay Bear #5491,White,Utility Vest,Defeated,Barrel Sunglasses,Grizzly,,Okay,0.1265,0.144,0.2305,0.0526,0.0197,0.0211,0.2698
Okay Bear #5492,Yellow,Utility Vest,Interested,Clear Glasses,Ginger,Pom Pom Beanie,Pouting,0.1222,0.0606,0.1231,0.0671,0.0197,0.0407,0.0256
Okay Bear #5493,Purple,Double Jacket,Interested,,Tan,Army Hat,Haa,0.1187,0.1413,0.022,0.0671,0.0251,0.6672,0.0239
Okay Bear #5494,Warm Grey,Okay Tee,Tired,,Polar,Black Bucket Hat,Wry,0.1227,0.0641,0.0922,0.0454,0.0273,0.6672,0.0412
Okay Bear #5495,Yellow,,Defeated,Round Glasses,Tan,Skate Cap,Okay,0.1222,0.1413,0.2305,0.0526,0.1965,0.0374,0.0551
Okay Bear #5496,White,,Sad,,Dark Brown,,Sneer,0.1265,0.1268,0.0211,0.0507,0.1965,0.6672,0.2698
Okay Bear #5497,Purple,Okay Hoodie,Disappointed,,Tan,Pencil,Okay,0.1187,0.1413,0.2305,0.094,0.015,0.6672,0.0379
Okay Bear #5498,Warm Grey,Pullover Windbreaker,Annoyed,,Pink,Rabbit Fur Hat,Yum,0.1227,0.0426,0.0098,0.1309,0.0204,0.6672,0.0085
Okay Bear #5499,Green,,Sad,,Tan,,Pouting,0.126,0.1413,0.1231,0.0507,0.1965,0.6672,0.2698
Okay Bear #55,Yellow,Hooded Cardigan,Sarcastic,Holographic,Grizzly,Black Bucket Hat,Ohh,0.1222,0.144,0.0243,0.0965,0.0161,0.0171,0.0412
Okay Bear #550,Blue,Hawaiian Shirt,Annoyed,,Grizzly,Surf Bucket Hat,Drool,0.1252,0.144,0.0097,0.1309,0.0178,0.6672,0.0133
Okay Bear #5500,Warm Grey,Woven Sweater,Annoyed,,Tan,Flat Hat,Wheat,0.1227,0.1413,0.0217,0.1309,0.0208,0.6672,0.029
Okay Bear #5501,Cream,Vintage Shirt,Annoyed,,Robot,Runner Cap,Oou,0.1326,0.0052,0.0271,0.1309,0.0275,0.6672,0.0339
Okay Bear #5502,Warm Grey,Torn Sleeveless Tee,Defeated,,Polar,Ear Tag,Okay,0.1227,0.0641,0.2305,0.0526,0.0315,0.6672,0.0191
Okay Bear #5503,Green,Lumber Jacket,Interested,,Albino,Pom Pom Beanie,Yawn,0.126,0.0456,0.0083,0.0671,0.0124,0.6672,0.0256
Okay Bear #5504,Blue,Aviator Jacket,Sarcastic,Aviator Sunglasses,Albino,Okay Beanie,Wheat,0.1252,0.0456,0.0217,0.0965,0.0075,0.0409,0.0301
Okay Bear #5505,Yellow,Vintage Shirt,Sarcastic,,Dark Brown,,Earphones,0.1222,0.1268,0.0049,0.0965,0.0275,0.6672,0.2698
Okay Bear #5506,Purple,,Disappointed,Punk Sunglasses,Grizzly,Backwards Skate Cap,Pouting,0.1187,0.144,0.1231,0.094,0.1965,0.0269,0.0212
Okay Bear #5507,Yellow,,Interested,Snow Goggles,Tan,,Pouting,0.1222,0.1413,0.1231,0.0671,0.1965,0.0121,0.2698
Okay Bear #5508,Blue,Coat with Headphones,Sarcastic,,Tan,Skate Cap,Okay,0.1252,0.1413,0.2305,0.0965,0.009,0.6672,0.0551
Okay Bear #5509,Blue,Striped Tee,Annoyed,Punk Sunglasses,Albino,,Pouting,0.1252,0.0456,0.1231,0.1309,0.0357,0.0269,0.2698
Okay Bear #551,Cream,Loose Overalls,Annoyed,,Grizzly,Worn Out Cap,Pouting,0.1326,0.144,0.1231,0.1309,0.0268,0.6672,0.0279
Okay Bear #5510,Green,,Spirited,,Pink,Flat Hat,Raspberry,0.126,0.0426,0.0253,0.062,0.1965,0.6672,0.029
Okay Bear #5511,Cream,Vintage Shirt,Happy,Wayfarer Sunglasses,Green,Runner Cap,Proud,0.1326,0.0456,0.0528,0.0788,0.0275,0.0438,0.0339
Okay Bear #5512,Grey,Vintage Shirt,Okay,,Tan,Runner Cap,Okay,0.1261,0.1413,0.2305,0.2023,0.0275,0.6672,0.0339
Okay Bear #5513,Yellow,Formal Vest,Sad,,Sand,Backwards Skate Cap,Wry,0.1222,0.0818,0.0922,0.0507,0.0157,0.6672,0.0212
Okay Bear #5514,Blue,Golf Polo,Wide Eyed,Wayfarer Sunglasses,Grizzly,Head Cam,Wry,0.1252,0.144,0.0922,0.026,0.02,0.0438,0.0146
Okay Bear #5515,Green,,Okay,Wayfarer Sunglasses,Sun,Black Bucket Hat,Hmm,0.126,0.0259,0.0302,0.2023,0.1965,0.0438,0.0412
Okay Bear #5516,Yellow,Overalls,Tired,Punk Sunglasses,Tan,Ear Tag,Wheat,0.1222,0.1413,0.0217,0.0454,0.0139,0.0269,0.0191
Okay Bear #5517,Yellow,Autumn Sweater,Okay,,Green,Backwards Flat Cap,Pouting,0.1222,0.0456,0.1231,0.2023,0.0175,0.6672,0.0303
Okay Bear #5518,Warm Grey,Lumber Jacket,Spirited,,Grizzly,Chullo,Bubble Gum,0.1227,0.144,0.0101,0.062,0.0124,0.6672,0.0078
Okay Bear #5519,Cream,,Interested,,Dark Brown,Pencil,Okay,0.1326,0.1268,0.2305,0.0671,0.1965,0.6672,0.0379
Okay Bear #552,Green,Coat with Headphones,Sarcastic,,Dark Brown,Okay Beanie,Raspberry,0.126,0.1268,0.0253,0.0965,0.009,0.6672,0.0301
Okay Bear #5520,Cream,Golf Polo,Closed,,Andean,Mumford Hat,Proud,0.1326,0.0377,0.0528,0.031,0.02,0.6672,0.0175
Okay Bear #5521,Green,Loose Overalls,Spirited,Circle Sunglasses,Sun,,Pouting,0.126,0.0259,0.1231,0.062,0.0268,0.0282,0.2698
Okay Bear #5522,Cream,,Okay,,Polar,Black Bucket Hat,Wry,0.1326,0.0641,0.0922,0.2023,0.1965,0.6672,0.0412
Okay Bear #5523,Cream,Tweed Suit,Annoyed,Wayfarer Sunglasses,Grizzly,Sweatband,Bubble Gum,0.1326,0.144,0.0101,0.1309,0.0088,0.0438,0.0352
Okay Bear #5524,Green,Leather Jacket,Sarcastic,Barrel Sunglasses,Red Panda,,Raspberry,0.126,0.0276,0.0253,0.0965,0.013,0.0211,0.2698
Okay Bear #5525,White,,Okay,,Grizzly,Worn Out Beanie,Haa,0.1265,0.144,0.022,0.2023,0.1965,0.6672,0.026
Okay Bear #5526,Yellow,Camel Coat,Annoyed,,Sand,Sweatband,Wry,0.1222,0.0818,0.0922,0.1309,0.0116,0.6672,0.0352
Okay Bear #5527,Cream,Suede Jacket,Okay,,Tan,,Pouting,0.1326,0.1413,0.1231,0.2023,0.0202,0.6672,0.2698
Okay Bear #5528,White,Pullover Windbreaker,Okay,,Dark Brown,,Asparagus,0.1265,0.1268,0.0076,0.2023,0.0204,0.6672,0.2698
Okay Bear #5529,Warm Grey,Woven Sweater,Closed,Aviator Sunglasses,Polar,,Bubble Gum,0.1227,0.0641,0.0101,0.031,0.0208,0.0409,0.2698
Okay Bear #553,Warm Grey,Sling Pack,Okay,,Sand,Classic Cap,Gah,0.1227,0.0818,0.0426,0.2023,0.022,0.6672,0.0337
Okay Bear #5530,Purple,Striped Tee,Sarcastic,,Andean,Earrings,Beaming Smile,0.1187,0.0377,0.0233,0.0965,0.0357,0.6672,0.0266
Okay Bear #5531,Warm Grey,,Defeated,,Ginger,,Pouting,0.1227,0.0606,0.1231,0.0526,0.1965,0.6672,0.2698
Okay Bear #5532,Purple,Torn Sleeveless Tee,Annoyed,Pixel Glasses,Sand,,Wry,0.1187,0.0818,0.0922,0.1309,0.0315,0.032,0.2698
Okay Bear #5533,Cream,Pullover Windbreaker,Tired,,Albino,Sticky Note,Asparagus,0.1326,0.0456,0.0076,0.0454,0.0204,0.6672,0.023
Okay Bear #5534,Cream,,Sad,Holographic,Red Panda,Sticky Note,Huh,0.1326,0.0276,0.0344,0.0507,0.1965,0.0171,0.023
Okay Bear #5535,Purple,Torn Sleeveless Tee,White Glow,,Panda,Okay Beanie,Asparagus,0.1187,0.039,0.0076,0.0341,0.0315,0.6672,0.0301
Okay Bear #5536,Green,Vintage Shirt,Annoyed,,Tan,Chullo,Wry,0.126,0.1413,0.0922,0.1309,0.0275,0.6672,0.0078
Okay Bear #5537,Warm Grey,,Okay,,Andean,Rabbit Fur Hat,Pouting,0.1227,0.0377,0.1231,0.2023,0.1965,0.6672,0.0085
